"","year","shower_name","active_start","peak_date","active_end","active_date_label","peak_date_label","zhr","intensity"
"178",2014,"Quadrantids",2014-01-01,2014-01-03,2014-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"179",2014,"Southern Taurids",2014-09-23,2014-10-10,2014-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"180",2014,"Ursids",2014-12-17,2014-12-22,2014-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"181",2015,"Delta Aquariids",2015-07-12,2015-07-30,2015-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"182",2015,"Draconids",2015-10-06,2015-10-08,2015-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"183",2015,"Eta Aquariids",2015-04-19,2015-05-06,2015-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"184",2015,"Geminids",2015-12-04,2015-12-14,2015-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"185",2015,"Leonids",2015-11-06,2015-11-17,2015-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"186",2015,"Lyrids",2015-04-15,2015-04-22,2015-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"187",2015,"Northern Taurids",2015-10-13,2015-11-12,2015-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"188",2015,"Orionids",2015-10-02,2015-10-22,2015-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"189",2015,"Perseids",2015-07-17,2015-08-12,2015-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"190",2015,"Quadrantids",2015-01-01,2015-01-03,2015-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"191",2015,"Southern Taurids",2015-09-23,2015-10-10,2015-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"192",2015,"Ursids",2015-12-17,2015-12-22,2015-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"193",2016,"Delta Aquariids",2016-07-12,2016-07-30,2016-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"194",2016,"Draconids",2016-10-06,2016-10-08,2016-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
"195",2016,"Eta Aquariids",2016-04-19,2016-05-06,2016-05-28,"Apr 19 - May 28","May 06",50,"Moderate"
"196",2016,"Geminids",2016-12-04,2016-12-14,2016-12-20,"Dec 04 - Dec 20","Dec 14",150,"Very High"
"197",2016,"Leonids",2016-11-06,2016-11-17,2016-11-30,"Nov 06 - Nov 30","Nov 17",15,"Low"
"198",2016,"Lyrids",2016-04-15,2016-04-22,2016-04-29,"Apr 15 - Apr 29","Apr 22",18,"Low"
"199",2016,"Northern Taurids",2016-10-13,2016-11-12,2016-12-02,"Oct 13 - Dec 02","Nov 12",5,"Very Low"
"200",2016,"Orionids",2016-10-02,2016-10-22,2016-11-07,"Oct 02 - Nov 07","Oct 22",20,"Low"
"201",2016,"Perseids",2016-07-17,2016-08-12,2016-08-24,"Jul 17 - Aug 24","Aug 12",100,"High"
"202",2016,"Quadrantids",2016-01-01,2016-01-03,2016-01-05,"Jan 01 - Jan 05","Jan 03",120,"Very High"
"203",2016,"Southern Taurids",2016-09-23,2016-10-10,2016-11-27,"Sep 23 - Nov 27","Oct 10",5,"Very Low"
"204",2016,"Ursids",2016-12-17,2016-12-22,2016-12-26,"Dec 17 - Dec 26","Dec 22",10,"Very Low"
"205",2017,"Delta Aquariids",2017-07-12,2017-07-30,2017-08-23,"Jul 12 - Aug 23","Jul 30",25,"Low"
"206",2017,"Draconids",2017-10-06,2017-10-08,2017-10-10,"Oct 06 - Oct 10","Oct 08",10,"Very Low"
